,_id,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
0,5e9ed0b93b43ce83895586a8,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386
1,5e9ed0b93b43ce83895586a9,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386
2,5e9ed0b93b43ce83895586aa,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386
3,5e9ed0b93b43ce83895586ab,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386
4,5e9ed0b93b43ce83895586ac,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386
5,5e9ed0b93b43ce83895586ad,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386
6,5e9ed0b93b43ce83895586ae,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386
7,5e9ed0b93b43ce83895586af,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386
8,5e9ed0b93b43ce83895586b0,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386
9,5e9ed0b93b43ce83895586b1,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386
10,5e9ed0b93b43ce83895586b2,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386
11,5e9ed0b93b43ce83895586b3,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386
12,5e9ed0b93b43ce83895586b4,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386
13,5e9ed0b93b43ce83895586b5,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386
14,5e9ed0b93b43ce83895586b6,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386
15,5e9ed0b93b43ce83895586b7,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386
16,5e9ed0b93b43ce83895586b8,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386
17,5e9ed0b93b43ce83895586b9,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386
18,5e9ed0b93b43ce83895586ba,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386
19,5e9ed0b93b43ce83895586bb,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386
20,5e9ed0b93b43ce83895586bc,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386
21,5e9ed0b93b43ce83895586bd,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386
22,5e9ed0b93b43ce83895586be,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386
23,5e9ed0b93b43ce83895586bf,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386
24,5e9ed0b93b43ce83895586c0,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386
25,5e9ed0b93b43ce83895586c1,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386
26,5e9ed0b93b43ce83895586c2,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386
27,5e9ed0b93b43ce83895586c3,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386
28,5e9ed0b93b43ce83895586c4,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386
29,5e9ed0b93b43ce83895586c5,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386
30,5e9ed0b93b43ce83895586c6,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386
