Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious_Critical
USA,"782,987","41,777","71,770","669,440","13,576"
Spain,"200,210","20,852","80,587","98,771","7,371"
Italy,"181,228","24,114","48,877","108,237","2,573"
France,"155,383","20,265","37,409","97,709","5,683"
Germany,"146,398","4,706","91,500","50,192","2,889"
UK,"124,743","16,509",N/A,"107,890","1,559"
Turkey,"90,980","2,140","13,430","75,410","1,909"
Iran,"83,505","5,209","59,273","19,023","3,389"
Russia,"47,121",405,"3,446","43,270",700
Belgium,"39,983","5,828","8,895","25,260","1,071"
Brazil,"39,681","2,512","22,130","15,039","7,919"
Canada,"36,670","1,680","12,197","22,793",557
Netherlands,"33,405","3,751",250,"29,404","1,158"
Switzerland,"27,944","1,429","18,600","7,915",386
Portugal,"20,863",735,610,"19,518",215
India,"17,655",559,"2,854","14,242",
Peru,"16,325",445,"6,968","8,912",385
Ireland,"15,652",687,77,"14,888",294
Austria,"14,795",470,"10,631","3,694",194
Sweden,"14,777","1,580",550,"12,647",521
Israel,"13,713",177,"4,049","9,487",149
Japan,"10,797",236,"1,159","9,402",217
S. Korea,"10,674",236,"8,114","2,324",55
Chile,"10,507",139,"4,676","5,692",377
Saudi Arabia,"10,484",103,"1,490","8,891",88
Ecuador,"10,128",507,"1,150","8,471",124
Poland,"9,593",380,"1,133","8,080",160
Romania,"8,936",478,"2,017","6,441",261
Pakistan,"8,418",176,"1,970","6,272",46
Mexico,"8,261",686,"2,627","4,948",207
Singapore,"8,014",11,801,"7,202",23
Denmark,"7,515",364,"4,312","2,839",84
UAE,"7,265",43,"1,360","5,862",1
Norway,"7,127",181,32,"6,914",58
Czechia,"6,838",194,"1,559","5,085",84
Indonesia,"6,760",590,747,"5,423",
Serbia,"6,630",125,870,"5,635",108
Australia,"6,619",71,"4,258","2,290",49
Philippines,"6,459",428,613,"5,418",1
Belarus,"6,264",51,514,"5,699",92
Qatar,"6,015",9,555,"5,451",37
Ukraine,"5,710",151,359,"5,200",45
Malaysia,"5,425",89,"3,295","2,041",45
Dominican Republic,"4,964",235,416,"4,313",128
Panama,"4,467",126,165,"4,176",98
Finland,"3,868",98,"2,000","1,770",67
Colombia,"3,792",179,711,"2,902",98
Luxembourg,"3,558",75,637,"2,846",32
Egypt,"3,333",250,821,"2,262",
South Africa,"3,300",58,"1,055","2,187",36
Morocco,"3,046",143,350,"2,553",1
Bangladesh,"2,948",101,85,"2,762",1
Argentina,"2,941",136,737,"2,068",123
Thailand,"2,792",47,"1,999",746,61
Algeria,"2,718",384,"1,099","1,235",40
Moldova,"2,548",70,457,"2,021",212
Greece,"2,245",116,269,"1,860",61
Kuwait,"1,995",9,367,"1,619",39
Hungary,"1,984",199,267,"1,518",60
Bahrain,"1,907",7,769,"1,131",2
Croatia,"1,881",47,771,"1,063",18
Kazakhstan,"1,852",19,447,"1,386",22
Iceland,"1,773",10,"1,362",401,4
Uzbekistan,"1,627",5,261,"1,361",8
Iraq,"1,574",82,"1,043",449,
Estonia,"1,535",40,165,"1,330",9
New Zealand,"1,440",12,974,454,2
Azerbaijan,"1,436",19,791,626,16
Oman,"1,410",7,238,"1,165",3
Armenia,"1,339",22,580,737,30
Slovenia,"1,335",77,193,"1,065",26
Lithuania,"1,326",37,242,"1,047",17
Bosnia and Herzegovina,"1,309",49,381,879,4
North Macedonia,"1,225",54,200,971,9
