pop_Id,Country,geo_Id,country_code,cases,deaths,day,month,year,popData2018
1,Afghanistan,AF,AFG,61,1,10,4,2020,37172386
2,Afghanistan,AF,AFG,56,3,9,4,2020,37172386
3,Afghanistan,AF,AFG,30,4,8,4,2020,37172386
4,Afghanistan,AF,AFG,38,0,7,4,2020,37172386
5,Afghanistan,AF,AFG,29,2,6,4,2020,37172386
6,Afghanistan,AF,AFG,35,1,5,4,2020,37172386
7,Afghanistan,AF,AFG,0,0,4,4,2020,37172386
8,Afghanistan,AF,AFG,43,0,3,4,2020,37172386
9,Afghanistan,AF,AFG,26,0,2,4,2020,37172386
10,Afghanistan,AF,AFG,25,0,1,4,2020,37172386
11,Afghanistan,AF,AFG,27,0,31,3,2020,37172386
12,Afghanistan,AF,AFG,8,1,30,3,2020,37172386
13,Afghanistan,AF,AFG,15,1,29,3,2020,37172386
14,Afghanistan,AF,AFG,16,1,28,3,2020,37172386
15,Afghanistan,AF,AFG,0,0,27,3,2020,37172386
16,Afghanistan,AF,AFG,33,0,26,3,2020,37172386
17,Afghanistan,AF,AFG,2,0,25,3,2020,37172386
18,Afghanistan,AF,AFG,6,1,24,3,2020,37172386
19,Afghanistan,AF,AFG,10,0,23,3,2020,37172386
20,Afghanistan,AF,AFG,0,0,22,3,2020,37172386
21,Afghanistan,AF,AFG,2,0,21,3,2020,37172386
22,Afghanistan,AF,AFG,0,0,20,3,2020,37172386
23,Afghanistan,AF,AFG,0,0,19,3,2020,37172386
24,Afghanistan,AF,AFG,1,0,18,3,2020,37172386
25,Afghanistan,AF,AFG,5,0,17,3,2020,37172386
26,Afghanistan,AF,AFG,6,0,16,3,2020,37172386
27,Afghanistan,AF,AFG,3,0,15,3,2020,37172386
28,Afghanistan,AF,AFG,3,0,11,3,2020,37172386
29,Afghanistan,AF,AFG,3,0,8,3,2020,37172386
30,Afghanistan,AF,AFG,0,0,2,3,2020,37172386
31,Afghanistan,AF,AFG,0,0,1,3,2020,37172386
32,Afghanistan,AF,AFG,0,0,29,2,2020,37172386
33,Afghanistan,AF,AFG,0,0,28,2,2020,37172386
34,Afghanistan,AF,AFG,0,0,27,2,2020,37172386
35,Afghanistan,AF,AFG,0,0,26,2,2020,37172386
36,Afghanistan,AF,AFG,1,0,25,2,2020,37172386
37,Afghanistan,AF,AFG,0,0,24,2,2020,37172386
38,Afghanistan,AF,AFG,0,0,23,2,2020,37172386
