hosp_id,hospital_name,address,city,state,zip_code,county_name,Country,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,provider_id
1,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,USA,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,FALSE,31309
2,WOODRIDGE BEHAVIORAL CENTER,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,USA,(870) 394-4113,Psychiatric,Proprietary,FALSE,FALSE,44021
3,DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,33137,MIAMI-DADE,USA,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,FALSE,100277
4,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,BRADENTON,FL,34210,MANATEE,USA,(941) 792-2222,Psychiatric,Proprietary,FALSE,FALSE,104078
5,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,BOISE,ID,83704,ADA,USA,(208) 373-5000,Acute Care Hospitals,Proprietary,FALSE,FALSE,130063
6,INTERMOUNTAIN HOSPITAL,303 NORTH ALLUMBAUGH STREET,BOISE,ID,83704,ADA,USA,(208) 377-8400,Psychiatric,Proprietary,FALSE,FALSE,134002
7,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,1000 N MAIN ST,ANNA,IL,62906,UNION,USA,(618) 833-5161,Psychiatric,Government - State,FALSE,FALSE,144038
8,GOODLAND REGIONAL MEDICAL CENTER,220 WEST SECOND STREET,GOODLAND,KS,67735,SHERMAN,USA,(785) 890-3625,Critical Access Hospitals,Government - Local,TRUE,FALSE,171370
9,SPRING HARBOR HOSPITAL,123 ANDOVER ROAD,WESTBROOK,ME,4092,CUMBERLAND,USA,(207) 761-2200,Psychiatric,Government - Federal,TRUE,FALSE,204005
10,EASTERN SHORE HOSPITAL CENTER,POST OFFICE BOX 800,CAMBRIDGE,MD,21613,DORCHESTER,USA,(410) 221-2525,Psychiatric,Government - State,FALSE,FALSE,214002
11,CHOCTAW REGIONAL MEDICAL CENTER,8613 MS HWY 12,ACKERMAN,MS,39735,CHOCTAW,USA,(662) 285-4400,Critical Access Hospitals,Government - Local,TRUE,FALSE,251334
12,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110,ST. LOUIS CITY,USA,(314) 454-6000,Childrens,Voluntary non-profit - Other,TRUE,FALSE,263301
13,NEW HAMPSHIRE HOSP-PSYCH UNIT,36 CLINTON STREET,CONCORD,NH,3301,MERRIMACK,USA,(603) 271-5300,Psychiatric,Government - State,TRUE,FALSE,304000
14,UNION COUNTY GENERAL HOSPITAL,300 WILSON STREET,CLAYTON,NM,88415,UNION,USA,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,321304
15,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,VANCE,USA,(252) 431-3708,Acute Care Hospitals,Proprietary,TRUE,TRUE,340132
