countriesandterritories,cases,total_wuhan_visited,total_recovered,active_cases
Spain,304892.0,13.0,80587.0,98771.0
Italy,287252.0,588.0,48877.0,108237.0
France,172668.0,19.0,37409.0,97709.0
Germany,227050.0,20.0,91500.0,50192.0
Iran,132440.0,28.0,59273.0,19023.0
Russia,20262.0,2.0,3446.0,43270.0
Belgium,49966.0,1.0,8895.0,25260.0
Brazil,35714.0,1.0,22130.0,15039.0
Canada,41496.0,10.0,12197.0,22793.0
Netherlands,43524.0,2.0,250.0,29404.0
Switzerland,46990.0,10.0,18600.0,7915.0
Austria,26496.0,2.0,10631.0,3694.0
Sweden,18282.0,9.0,550.0,12647.0
Israel,19936.0,4.0,4049.0,9487.0
Japan,9334.0,726.0,1159.0,9402.0
Ecuador,9930.0,1.0,1150.0,8471.0
Romania,10404.0,3.0,2017.0,6441.0
Pakistan,9202.0,2.0,1970.0,6272.0
Singapore,3818.0,91.0,801.0,7202.0
Norway,12320.0,4.0,32.0,6914.0
Australia,12304.0,15.0,4258.0,2290.0
Philippines,8152.0,3.0,613.0,5418.0
Malaysia,8456.0,17.0,3295.0,2041.0
Finland,5210.0,2.0,2000.0,1770.0
Thailand,4946.0,33.0,1999.0,746.0
Algeria,3332.0,1.0,1099.0,1235.0
Greece,3910.0,1.0,269.0,1860.0
Kuwait,1820.0,26.0,367.0,1619.0
Bahrain,1774.0,20.0,769.0,1131.0
Croatia,2814.0,3.0,771.0,1063.0
Estonia,2414.0,1.0,165.0,1330.0
Oman,914.0,6.0,238.0,1165.0
Lithuania,1910.0,1.0,242.0,1047.0
Afghanistan,968.0,1.0,135.0,855.0
Lebanon,1164.0,3.0,103.0,553.0
Nigeria,576.0,1.0,170.0,436.0
Georgia,436.0,2.0,95.0,303.0
Vietnam,510.0,16.0,214.0,54.0
Cambodia,238.0,1.0,107.0,15.0
